,Review,flair_labels
0,oh wanted buy acwell licorice toner stock ended buying one even though little skeptical oh im glad skin definitely improved feels smoother even even pores look smaller combination skin adult acne thats basically gone definitely recommend,1
1,stop using putting product face month two acne scars almost completely went away know normally exfoliate ever often every night helps face immensely keep buying product,1
2,despite keeping lip cap sealed like youre instructed handful uses longer foamed bummed bc half product left might better sell smaller amounts,0
3,looking way fade sunspots sides face also wanted try glass skin effect sg recommended sensitive skin types use freshly juiced vitamin c oil freshly juiced vitamin e mask used products together month liked soft luminescent made skin also improved texture could tell oil fresh felt warm skin havent bad reaction either products liked much im second monthly purchase,1
4,feels lightweight smells good love feels light skin feel pampered lightly scented cream like went spa treat,1
5,one top picks traveling especially using long haul flight soothing moisturizing,1
6,im love toner doesnt seem anything special get ton money itll last moooonths pleasant scent doesnt irritate skin,0
7,love klairs excited try moisturizer read mixed reviews decided purchase since klairs product combination skin dry oily acne prone sensitive fun texture runny wish come pump instead jar felt light skin took longer products use dry one week use started breakout product thing added regime unfortunately ended returning,0
8,see major change others saying make skin dewy felt hydrated could bought regular serum instead,0
9,didnt like product cleansed well except face felt dry afterwards dry rest korean skin care didnt seem cooperative cleanser dry senstive skin redness across nose cheeks hormonal breakouts,0
10,love love life savers honestly love transparent great way hide conceal acne help get rid acne reduce scarring,1
11,love joan kim love scent night cream favorite light day cream sits well make little goes long way doesnt make break plus easy layer winter,1
12,gentle yet effective leaves skin soft reduces redness acne,1
13,love,1
14,im blown away well work put pimple nearly gone next day received free influenster definitely purchasing totally worth,1
15,liquid liner easy apply waterproof stays day,1
16,get product wont regret rarely ever leave reviews products product good use cleanser aha clarifying toner saw difference second day acne bumps gone much skin problematic lately tried many expensive products nothing worked decided give product try definitely dont regret definitely buy another run,1
17,ive tried many hair oils frizz fly away hair best expensive worth,1
18,product smells great right moisturizer combination skin oily side also suffer acne didnt get breakouts using product makes face feels tight worth try,0
19,provides nice protective layer hydration moisture skin gets extra dry winter godsend,1
20,previously using mario badescu foam cleansing would make dry would use twice week scared going effect ive using week half day night nothing else ever works skin weird reactions neutrogena brands leave squeaky clean feeling goes away moisturizing ive noticed keeeping hormonal acne bay diminishes coming im honestly love face wash,1
21,really nice want essence really soak skin use snail mucin essence daily love,1
22,received product free testing purposes influenster cosrx vegan beauty made bit hesitant firstso seeing claim snails harmed plunged forward testing something else made hesitant cream slimystretchy consistency getting past applied washing toner first applied skin felt bit sticky letting sit absorbed skin felt looked fabulous,1
23,good product dissolves difficult either toner serum making difficult use,0
24,use couple times week helps prevent pimples makes skin really soft,1
25,cant imagine hoe much quickly absorbs gives glow hydrating skin im love product,1
26,pleasantly surprised cleanser use cerave face wash,1
27,use nights skin barrier seems much happier products ive tried,1
28,texture slip thicker water really loved made feel hydrated,1
29,ive gone quite journey trying cleansing oils balms could incorporate double cleanse routine first tried western cleansing oils balms broke started trying korean brand oils balms theyve broken well shouldve started one really one hasnt broken also emulsifies beautifully doesnt leave oily film skin washing finally found one,1
30,buy run skin dry breaking,0
31,love doesnt feel heavy job moisturizes skin leaves feeling really soft doesnt smell strongly anything,1
32,first times used cleanser skin felt little tight loved packaging way foams though kept using another week two sensitive skin little harsh,0
33,nice product actually moisturizing dry skin sensitive skin,1
34,good dont wrinkles around eyes yet notice kind firmest buying,1
35,apply mask one week exfoliating using toner put mask fudge put feels fresh cool skin looks glowing dewy feels moisturized clean definitely recommend,1
36,stuff amazing long straight colortreated hair regularly use deep conditioners british ms hair oil hair silky smooth expected great conditioner didnt anticipate able detect noticeable differences since hair good condition omg incredible used shower left hair 5 minutes followed british ms hair oil hair literally never felt better didnt think possible plus british ms hair oil forever holy grail combo cant recommend products enough,1
37,definitely gets anything left behind cleanser sensitive skin bother waited 1 month wrote review hope helps someone,0
38,loveeeee face wash use oil cleanse beforehand cleanser great job washing away residual makeup oil face never felt clean really great sensitive skin however reccomend moisturizing afterwards since tad drying still foam cleanser,1
39,cant say enough good things moisturizer first seems really heavy apply skin actual perfect hydrating greasy oily doesnt cause skin breakout use daily moisturizer skin never better,1
40,oh oil pure magic tried many cleansing oils none reacted skin well right great use nights wore makeup throughout day eventful sweaty days feel like skin needs extra cleanse get bumps breakouts burn works really well stubborn makeup like waterproof mascara lipsticks definitely making staple product,1
