,Review,flair_labels
0,best impulse buy ive made sokoglam im pleased nongreasy smells light refreshing definitely going look buy run,1
1,love serum great consistency absorbs well wake morning skin plump glowy appearance definitely reordering,1
2,warm oily skin doesnt absorb rapidly prefer one bought previously cosrx,0
3,cute work really well 1010,1
4,used week half see changes skin feels soft,0
5,product actually works well wonderfully moisturizing skin doesnt work well acne hoping place however really brightens skin theres difference brightness put one side face reason im giving four stars didnt work treatment acne concern,0
6,use one mask far cant tell much tell mask bit bigger face,1
7,bought partner actually suffer reactivesensitive dehydrated skin ive burned many moisturizers trying find one meets basic requirements ie rednessirritation burning hydrates fragranceparfum essential oils linalool citrus etc originally bought thank farmer true water deep cream partner skin combo drier side sensitive ended switching makes skin feel hydrated greasy touch skin feels hydrated supple still redness move mouth thats something dermatologist appointment,0
8,think would actually prefer formula teeny weeny bit drying oily skin sort slides leaving tiny pink dust particles left behind highlight pores around two pimples put bright side isnt irritating,0
9,love light smell moisturizer super refreshing moisturizer feels refreshing full cream id say leans towards watery almost gel like consistency wouldnt use winter summer moisturizer great,1
10,noticed great improvement clarity skin especially nose much fewer blackheads 2 weeks facialist commented whatever really good even requested information wish formula little hydrating like claims,1
11,product okay toner wasnt harsh skin dry nice also didnt much help acne hoping,0
12,dry skin didnt first applied felt moisturized day went felt felt dry itchy skin broke like crazy get better didnt work also dont like product dispensed wish came pump instead,0
13,didnt really notice changes product didnt negative effects ill keep holy grail like reviewers,0
14,honestly doubts essence felt almost watery im used tend stick oily good way thicker serums essences first felt like essence wouldnt work well mostly water use skin started feeling healthy skins hydration stable never used feels plump revitalized firm consistent feels overall healthier brighter like mixing vitamin c powder application feels like wont give instant results want longterm good healthy reliable serum trust actually says im happily surprised,1
15,unfortunately made skin itch break tiny red bumps clear test side face near hairline first applying rest face didnt reaction like creamy texture application sponge however felt coverage little heavy,0
16,love product almost like water cream sinks right skin leaves face feeling soft refreshed light doesnt scent highly recommend anyone oily skin,1
17,cream gives nice plumping effect skin didnt feel went deep thicker cream dry skin type felt like hovered last long need probably ideal comfy normal skin types,0
18,mature skin skeptical adding toner works hydrates skin makes plumper,1
19,product shouldve come vacuum pump opposed dropper viscous dropper would filled bubbles inside takes couple attempts get enough product single use frustrating use say least effectwise ive noticed difference oily skin repurchase,0
20,remember ordering around time released kind nervous werent reviews mist spray bottle amazing hits face feel hydrated moisturized use twice day use calendula cleansing water put mask sometimes also doesnt leave face sticky weirdness theres also smell faint smells good,1
21,used whole bottle thought nice worth repurchase didnt break gave hydration crazy difference skin using though would get extremely sensitive broken skin barrier need healing,0
22,face feels fresh pores look smaller,1
23,second order moisturizer skin loves moisturizers always tricky sensitive skin normally break cause irritation moisturizer nourishes skin feels soft supple natural glow,1
24,brown better black imo skippingquite like,1
25,noticeably reduces eye puffiness,0
26,skin dry sun damaged cream amazing job creating barrier locks nutrients applied serum also protects environmental damage moisturizers wake morning skin feel tight cream using tandem sioris bring light serum used together make skin feel nourished protected,1
27,received sample loved way made fine highlighted hair feel smells amazing expensive justify spending much silicone hair oil though,1
28,really nice sensitive skin adequate oily skin ive tried propolis benton moisturizing gel suits better,0
29,ordered serum neogen essence acwell toner skin looks flawless serum little sticky hydrating time im second bottle however wish bottle bigger price still love apart routine,1
30,luv toner excellent compliment 55 essence part 5 step regime face,1
31,really liked patches theyre great night terrible oh moment also like wear mask stay really well,1
32,already loved wineflavored one scent bit invasive one subtle efficient also gives extra fresh scent feeling allfav dont plan change anymore,1
33,favorite,1
34,excited try product live expecting combo sensitive skin sometimes horrible dry patches saw super hydrating saw glowing reviews know rice good dry skin experience product hydrating lose lot product one use get even little bit hydration,0
35,skin feels moist morning scent offputting took week accustomed partner much love much skin feels sure ill buy recommendations thing without smell,0
36,truly dont believe product much isnt holy grail item,0
37,skin barrier got damaged introducing many products overexfoliating suspect mask perfect soothing skin calming inflammation brightening effect nice plus,1
38,wanted love bad make skin dry irritated left tiny bumps spots put acne scarring,0
39,using hand cream broke point back started skin clearing started using sad liked texture nicely sinked skin,0
40,non irritating really balanced skin tone definitely buying,1
41,beginning dark circles instantly less noticeable kept applying effect didnt stay maybe skin got used,0
42,liked essence didnt love like thought going thought watery fact didnt feel enough started patting essence 3 times row ensure felt like getting needed essence loved everyone time keep recreating step 3+times didnt didnt use everyday make wonder would noticed difference used everyday oh well three times worked liked lot holy grail,0
43,purchased riley rose thought id give try since highly reviewed site didnt really anything skin okay cleanser used clarisonic mia2 didnt really lather occasion would sensitive breakouts drytight skin days would sting little,0
44,desperately wish hyaluronic acid something much like hibiscuscoconut water tea texture gives skin beautiful smooth isnt much point layering hydrating would however super recommend sensitive skin never irritated even hot showers exfoliation,0
45,super cute dont work hide fact pimple keep picking whitehead still 6 hours,0
46,products awesome adding moisture overall improved look skin many areas complaint im really seeing reduction fine lines wrinkles around eye area try eye products month see one really stands rest overall love products free harmful chemicals become norm us skin body care made andor derived natural ingredients favorite item set sheet maskmy recommendation would add enough sheet masks allow use least 1 time per week month,1
47,snail mucin essence seems nicely hydrating aging skin doesnt feel sticky slimy recommend need extra moisture skincare routine,1
48,good think iv ordered wrong colour looks slightly darker still usable,0
49,struggle hyperpigmentation raving reviews thought id give try think worked didnt like smell also yellowed fast even putting fridge,0
50,moisturizing absolutely love product,1
51,first obsessed smell love texture feels silky skin add water makes little foam noticed big difference weeks using skin cleared havent blackheads since also great removing makeup,1
52,hydrating leaves skin feeling elastic,1
53,think works whiteheads red pimples severe forms acne able get rid whiteheads keep protected dirt picking,0
54,ive always issues skin getting super oily throughout day annoyingly lead acne face however found first washes nice residue cleanser skin felt clean overly clean couple weeks later ive noticed acne reducing cleanser seems dry little little definitely repurchase also keep mind choosing right cleanser important routine water intake sleeping pattern,1
55,pimples cleared fast,0
56,love toner keeps skin hydrated soft cleansing,1
57,far go patches especially price need get soon 18 year old brother uses breakouts ingrown hairs,1
58,classic love line cleansers one specifically favorite dry skin prone hormonal acne never lets,1
59,absolutely love toner cannot go without hydrating mild scent nonirritating,1
60,product seriously best thing ive ever purchased realm skincare ive recommended countless times try,1
61,excited received product reason would feel burning sensation eyes dried skin,0
62,dont feel like serum spray whooole lot skin enjoy quick easy use,0
63,definitely gets anything left behind cleanser sensitive skin bother waited 1 month wrote review hope helps someone,0
64,didnt work didnt take much looked pretty,0
65,really got pores cleaned shocked see much old cleanser leaving behind new staple routine,1
66,cream thick leaves streaks face used night great super dry skin didnt see improvement snail bee stuff might skin,0
67,nice hydrating nothing super special,0
68,gives grippy feeling face like also means harsh skin purchase,0
69,love company stands general product amazing great people color leave white cast skin like sunscreens definitely would recommend definitely going buy,1
70,searching mineral sunscreen works deep skin tone really hoping hueguard one dehydrated skin use lot highly moisturizing skin care products usually makes skin supple dewy applied hueguard sunscreen skincare routine made skin dry ashy im giving one star product must amazing working people,0
71,dont feel gross wearing protect face picking blockprotect acne making sure grow bigger cute alternative ones clear,1
72,buying lotion willing buy kind im lotion snob lotion one things buy try new scent use 2 weeks forget weeks using lotion blown away skin smooth applying lotion quick skin stayed soft day long know seems little pricey lotion buy discount wont regret,1
73,husband rosacea loves stuff,1
74,super cute dont seem effective pimple patches ive tried also fallen night,0
75,used product last 5 years recent update turned completely used mild smell incredibly soothing terrible chemical smell irritates skin stop using really hope klairs goes back old formulation love many klairs products hope dont ruin others,0
76,wont go without stuff ever matter clean think face stuff without drying skin,1
77,oil great,1
78,im sure really anything improve pigmentation would usually apply essence step feels like left skin greasy maybe dry skin would work,0
79,think played huge role pimple reduction got rid using products since using returned months,0
80,holy grail alert cream perfect oily skin light waterbased still manages feel luxurious lovely fresh scent might bit much sensitive things absolutely amazing cream soaks skin nicely cause produce oil breakout every time use cream get ahhhhh feeling extremely happy quenched skin,1
81,cannot go without morning night routines moisturizing leaves face glowing,1
82,texture thick toner wasnt expecting absorbs skin like water really work advertised love using daily appreciate much exfoliation days,1
83,feels nice skin nothing special tho,0
84,doesnt impress gets job done,0
85,seems nothing works better deep painful pimples glytone sulfur resorcinol,0
86,never received product ive received ton sales advertising emails starface would give product negative stars option,0
87,great product gives right amount moisture morning especially perfect wheater used las winter indonesias humidity morning cream perfect put make make skin super oily anything night cream love love love scent helps relax night help sleep faster im almost done cream looking forward get second one,1
88,bought want try help indicated didnt see result,0
89,loved sample moisturizing definitely purchase full size think perfect colder months,1
90,decided product since believed needed something little heavier winter months unfortunately wasnt offered great moisture added brightening effect left skin oily tacky lived drier area harsher winters probably wouldve excellent,0
91,honestly nothing good things say product patches cute also super duper effective,1
